TicketID,Topic,Date_Opened,Description,Status,UserID,HelpDeskID
1,Share,2024-10-08,Will especially kind someone.,Open,23,2
2,Table,1982-04-21,Language movie accept voice standard on think.,In Progress,18,5
3,Hundred,2018-06-21,Debate citizen can.,Closed,14,5
4,Worker,1990-02-27,Service common walk southern sense.,In Progress,40,1
5,Goal,2012-09-10,Policy ground main skill answer old.,Open,21,5
6,Sign,1993-01-01,Accept hundred reflect indeed strategy follow.,Open,24,1
7,Activity,2018-11-21,Stage imagine read church free live pass community.,Open,33,1
8,Performance,2004-01-23,Treatment throw form hot hold seek.,Open,21,4
9,On,1996-03-12,Choice interesting population whether.,Open,14,5
10,Which,1979-08-15,Trade really tough policy artist morning.,Closed,8,5
11,Party,1990-11-12,Instead put character spend ahead suffer.,Open,36,2
12,Rich,1975-02-17,Still state media room marriage do eight.,Closed,29,4
13,Better,1974-09-17,Of rule risk their a scientist person.,In Progress,40,3
14,Buy,1974-01-17,Player give personal less green what nation shoulder.,Open,17,1
15,Trouble,1984-01-23,Special program become benefit star country.,Open,34,5
16,Human,2015-07-08,Performance good positive claim speak.,In Progress,24,1
17,Discover,1979-02-11,Seven occur direction war firm.,Closed,30,5
18,Reduce,2011-04-22,Point president concern dream.,In Progress,23,3
19,See,2007-08-14,Describe with art center.,Open,6,3
20,Brother,1997-12-03,Pull memory radio.,In Progress,25,5
21,Majority,1978-06-11,Civil send expert east value whole artist.,Open,35,2
22,Candidate,1981-11-27,Thing this edge movie may perform career.,Closed,16,3
23,Hot,1988-06-27,Number the religious whole better single force.,In Progress,31,4
24,Example,2010-08-15,Rate front professor them.,In Progress,26,5
25,Where,1998-08-06,Finally whole have write.,Open,20,3
26,Participant,2004-01-05,Able structure want there rock national.,Open,23,1
27,Available,1980-02-26,Entire exist recently loss see notice.,In Progress,37,5
28,Others,1978-01-06,Field opportunity suddenly physical identify election market easy.,Closed,21,2
29,Role,1994-08-27,Risk visit put prove gun physical wind behind.,Closed,18,2
30,Decision,2004-04-10,Each people every figure board.,In Progress,12,4
31,Affect,2006-03-24,Theory position air.,Closed,9,4
32,No,2017-04-29,Discover little possible seven size structure.,In Progress,14,5
33,Throw,2016-04-11,Situation activity the again serious live.,In Progress,29,5
34,Coach,1987-04-01,Situation bag service close.,Open,13,5
35,Wind,2023-11-11,Character best your cover test between professor.,Closed,1,3
36,Expert,2004-08-21,Kind fund letter recognize.,In Progress,31,2
37,Suffer,2014-04-05,Run age left brother certainly question thank.,Open,25,3
38,Skin,2022-03-30,Start own per threat point security price.,Closed,11,5
39,Upon,2009-12-26,Glass that some open quality.,Closed,6,2
40,People,2023-02-10,Guess eight security.,Closed,3,4
41,Article,1973-06-07,Value manager thing group energy evening.,In Progress,37,2
42,Still,2003-10-24,Him only west actually center nature.,Open,25,5
43,Price,1977-06-21,Wonder example lose bring kitchen.,In Progress,37,2
44,Service,2005-03-18,Audience including oil personal bar.,In Progress,20,5
45,Sign,1974-09-26,Design nearly serious wind choose day.,Closed,6,1
46,Message,2023-08-01,Interesting by someone voice also knowledge.,Open,38,1
47,Painting,2017-05-17,Present social fall man turn.,In Progress,32,3
48,Fund,1991-07-07,Turn movement white it.,Open,21,5
49,Theory,1989-06-29,Their fall conference eat would.,Open,34,5
50,Seat,1994-10-14,Find ago number wife current she.,Closed,11,2
